23.01.2026                                                                                 Salida dinámica de lista                                                                                         1
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Ce. |Alm.|CMv|Razión|Registrado|Hora    |Doc.mat.  |Usuario   |Fecha doc.|Material|Texto breve de material                 |Lote  |Cantidad|   Impte.ML|Txt.cab.doc.  |Pedido|Proveedor|Txt clase-mov.    |
| 4100|4190|YR1|  2521|02.02.2025|05:54:55|7810076189|UC4USER   |01.02.2025|50343132|ERVA DOCE DES ROLLON ANTIMANCHA 70ML    |ZB0057|      1-|       523-|4190 258866379|      |         |SM Ventas Retail  |
| 4100|4190|YR1|  2521|02.02.2025|05:54:55|7810076191|UC4USER   |01.02.2025|50343132|ERVA DOCE DES ROLLON ANTIMANCHA 70ML    |ZB0057|      1-|       523-|4190 258866421|      |         |SM Ventas Retail  |
| 4100|4189|YR1|  2521|02.02.2025|05:54:55|7810076188|UC4USER   |01.02.2025|50346257|TODODIA HID DES MANGA ROSA 400ML LTM    |Y90018|      1-|     1.519-|4189 258837585|      |         |SM Ventas Retail  |
| 4100|4190|YR1|  2521|02.02.2025|05:54:55|7810076195|UC4USER   |01.02.2025|50361779|FACES DELINEADOR RETRATIL BLACK INK TERC|Y6LA01|      1-|       970-|4190 258866438|      |         |SM Ventas Retail  |
| 4100|4190|YR1|  2521|02.02.2025|05:54:55|7810076194|UC4USER   |01.02.2025|50361779|FACES DELINEADOR RETRATIL BLACK INK TERC|Y6LA01|      1-|       970-|4190 258866438|      |         |SM Ventas Retail  |
| 4100|4191|YR1|  2521|02.02.2025|05:54:55|7810076197|UC4USER   |01.02.2025|50462509|LUMINA PROTETOR TERM 150ML TERC PS      |ZCFV03|      1-|     2.323-|4191 258847312|      |         |SM Ventas Retail  |
| 4100|4189|YR1|  2521|02.02.2025|05:54:54|7810076187|UC4USER   |01.02.2025|50326039|EKOS HID POLPA MAOS CASTANHA 75G LTM    |ZA0028|      1-|       699-|4189 258837576|      |         |SM Ventas Retail  |
| 4100|4188|YR1|  2521|02.02.2025|05:54:54|7810076183|UC4USER   |01.02.2025|50326039|EKOS HID POLPA MAOS CASTANHA 75G LTM    |ZA0028|      1-|       699-|4188 258817162|      |         |SM Ventas Retail  |
| 4100|4188|YR1|  2521|02.02.2025|05:54:54|7810076182|UC4USER   |01.02.2025|50326039|EKOS HID POLPA MAOS CASTANHA 75G LTM    |ZA0028|      1-|       699-|4188 258817153|      |         |SM Ventas Retail  |
| 4100|4180|YR1|  2521|02.02.2025|05:54:54|7810076181|UC4USER   |01.02.2025|50326039|EKOS HID POLPA MAOS CASTANHA 75G LTM    |ZA0028|      1-|       699-|4180 258862375|      |         |SM Ventas Retail  |
| 4100|4189|YR1|  2521|02.02.2025|05:54:54|7810076186|UC4USER   |01.02.2025|50326039|EKOS HID POLPA MAOS CASTANHA 75G LTM    |ZA0028|      1-|       699-|4189 258837566|      |         |SM Ventas Retail  |
| 4100|4189|YR1|  2521|02.02.2025|05:54:54|7810076184|UC4USER   |01.02.2025|50400880|TDIA FRAMPIM ROS DES COL BOD SPLAS 200ML|ZB0070|      1-|     1.318-|4189 258837542|      |         |SM Ventas Retail  |
| 4100|4189|YR1|  2521|02.02.2025|05:54:54|7810076185|UC4USER   |01.02.2025|50431669|TODODIA PERF AROM AMB NOT 200ML LTM     |Z70005|      1-|     1.720-|4189 258837554|      |         |SM Ventas Retail  |
| 4100|4165|YR1|  2521|02.02.2025|05:54:54|7810076180|UC4USER   |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z40003|      1-|     1.193-|4165 258879129|      |         |SM Ventas Retail  |
| 4100|4165|YR1|  2521|02.02.2025|05:54:54|7810076179|UC4USER   |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z40003|      1-|     1.193-|4165 258879116|      |         |SM Ventas Retail  |
| 4100|4164|YR1|  2521|02.02.2025|05:54:53|7810076173|UC4USER   |01.02.2025|50301036|EKOS HID POLPA MAOS PITANGA 75G LTM     |Z90014|      1-|       736-|4164 258861751|      |         |SM Ventas Retail  |
| 4100|4162|YR1|  2521|02.02.2025|05:54:53|7810074572|UC4USER   |01.02.2025|50301036|EKOS HID POLPA MAOS PITANGA 75G LTM     |ZA0015|      1-|       736-|4162 258875183|      |         |SM Ventas Retail  |
| 4100|4156|YR1|  2521|02.02.2025|05:54:53|7810074569|UC4USER   |01.02.2025|50301036|EKOS HID POLPA MAOS PITANGA 75G LTM     |ZA0015|      1-|       736-|4156 258799232|      |         |SM Ventas Retail  |
| 4100|4164|YR1|  2521|02.02.2025|05:54:53|7810076174|UC4USER   |01.02.2025|50301036|EKOS HID POLPA MAOS PITANGA 75G LTM     |Z90014|      1-|       736-|4164 258861782|      |         |SM Ventas Retail  |
| 4100|4164|YR1|  2521|02.02.2025|05:54:53|7810076176|UC4USER   |01.02.2025|50301036|EKOS HID POLPA MAOS PITANGA 75G LTM     |Z90014|      1-|       736-|4164 258861795|      |         |SM Ventas Retail  |
