-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Material|Ce. |Alm.|Texto breve de material     |Lote      |UM| Libre utiliz.|     Bloqueado|En CtrlCal|TransyTras|    Devol.| Valor total| Valor total|Denom-almacén   |Alm|Mon. | Val.trans.c/cond.|Valor en insp.cal.|    Stock no libre|    Valor no libre| Val.stock bl.dev.|
| 50269457|4100|4161|CHRONOS RF TONICO PELE OLEO |XAFV02    |PC|            0 |            1 |        0 |        0 |        0 |          0 |      1.407 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50269458|4100|4161|CHRONOS SERUM PELE OLEOSA T |A2WE02    |PC|            4 |            0 |        0 |        0 |        0 |     16.580 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50269458|4100|4161|CHRONOS SERUM PELE OLEOSA T |A4WE01    |PC|            5 |            0 |        0 |        0 |        0 |     20.725 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50270693|4100|4161|EKOS DES HID RF POLPA CASTA |A30008    |PC|            4 |            0 |        0 |        0 |        0 |      7.684 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50270693|4100|4161|EKOS DES HID RF POLPA CASTA |A50013    |PC|            6 |            0 |        0 |        0 |        0 |     11.526 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50270693|4100|4161|EKOS DES HID RF POLPA CASTA |A60015    |PC|            2 |            0 |        0 |        0 |        0 |      3.842 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50270724|4100|4161|EKOS RF POLPA CORPO TUKUMA  |A40005    |PC|            8 |            0 |        0 |        0 |        0 |     12.112 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50270724|4100|4161|EKOS RF POLPA CORPO TUKUMA  |X60017    |PC|            0 |            1 |        0 |        0 |        0 |          0 |      1.514 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50270724|4100|4161|EKOS RF POLPA CORPO TUKUMA  |YA0018    |PC|            0 |            1 |        0 |        0 |        0 |          0 |      1.514 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50270984|4100|4161|EKOS RF SAB LIQ MAOS CASTAN |A70004    |PC|            3 |            0 |        0 |        0 |        0 |      3.519 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50270984|4100|4161|EKOS RF SAB LIQ MAOS CASTAN |AA0006    |PC|           10 |            0 |        0 |        0 |        0 |     11.730 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50270986|4100|4161|EKOS RF SAB LIQ HIDRA UCUUB |X10002    |PC|            0 |            4 |        0 |        0 |        0 |          0 |      3.916 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50271210|4100|4161|EKOS RF SAB LIQ CREM CASTAN |A50001    |PC|           17 |            0 |        0 |        0 |        0 |     16.490 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50271210|4100|4161|EKOS RF SAB LIQ CREM CASTAN |W90015    |PC|            0 |            2 |        0 |        0 |        0 |          0 |      1.940 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50271210|4100|4161|EKOS RF SAB LIQ CREM CASTAN |X20001    |PC|            0 |            1 |        0 |        0 |        0 |          0 |        970 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50271223|4100|4161|EKOS SAB LIQ MAOS CASTANHA  |A50003    |PC|            6 |            0 |        0 |        0 |        0 |      8.052 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50271223|4100|4161|EKOS SAB LIQ MAOS CASTANHA  |A70004    |PC|            7 |            0 |        0 |        0 |        0 |      9.394 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50271223|4100|4161|EKOS SAB LIQ MAOS CASTANHA  |A70005    |PC|           13 |            0 |        0 |        0 |        0 |     17.446 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50271225|4100|4161|EKOS SAB LIQ HIDRA UCUUBA 1 |W60004    |PC|            0 |            6 |        0 |        0 |        0 |          0 |      6.444 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50271225|4100|4161|EKOS SAB LIQ HIDRA UCUUBA 1 |Y20001    |PC|           16 |            0 |        0 |        0 |        0 |     17.184 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50271225|4100|4161|EKOS SAB LIQ HIDRA UCUUBA 1 |Y90002    |PC|            7 |            0 |        0 |        0 |        0 |      7.518 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50271225|4100|4161|EKOS SAB LIQ HIDRA UCUUBA 1 |Z30001    |PC|            9 |            0 |        0 |        0 |        0 |      9.666 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50271228|4100|4161|EKOS SAB LIQ GEL PITANGA 19 |W60003    |PC|            0 |            2 |        0 |        0 |        0 |          0 |      2.028 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50271230|4100|4161|EKOS SAB LIQ CREM CASTANHA  |A10001    |PC|            5 |            0 |        0 |        0 |        0 |      5.105 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50271230|4100|4161|EKOS SAB LIQ CREM CASTANHA  |A40007    |PC|           15 |            0 |        0 |        0 |        0 |     15.315 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50272354|4100|4161|UNA LAPIS KAJAL PARA OLHOS  |A5W002    |PC|            1 |            0 |        0 |        0 |        0 |      1.029 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50272355|4100|4161|UNA LAPIS KAJAL PARA OLHOS  |A7W001    |PC|            1 |            0 |        0 |        0 |        0 |      1.184 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50272357|4100|4161|UNA BATOM MATTE INTRANSF RO |A2WE02    |PC|            4 |            0 |        0 |        0 |        0 |      6.404 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50272359|4100|4161|UNA BATOM MATTE INTRANSF VI |X7WE01    |PC|            0 |            2 |        0 |        0 |        0 |          0 |      3.272 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50273030|4100|4161|UNA MAXXI PALETTE DE SOMBRA |YAAW01    |PC|            4 |            0 |        0 |        0 |        0 |     20.844 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50273580|4100|4161|UNA APONTADOR DUPLO         |Z1FC01    |PC|           30 |            0 |        0 |        0 |        0 |     16.590 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50273719|4100|4161|UNA DELINEAD LONG DURAC P O |A3W001    |PC|           11 |            0 |        0 |        0 |        0 |      9.922 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50276242|4100|4161|UNA ESTOJO DE MAQUAGEM      |A8AJ01    |PC|            4 |            0 |        0 |        0 |        0 |      9.100 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50276242|4100|4161|UNA ESTOJO DE MAQUAGEM      |A9AJ01    |PC|            7 |            0 |        0 |        0 |        0 |     15.925 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50276916|4100|4161|UNA BLUSH REALCE ME RF ROSE |Z3WN01    |PC|            1 |            0 |        0 |        0 |        0 |        699 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50277148|4100|4161|TODODIA SAB BARRA FLIMAO 5X |A50003    |PC|           53 |            0 |        0 |        0 |        0 |     67.575 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50277148|4100|4161|TODODIA SAB BARRA FLIMAO 5X |A80004    |PC|           27 |            0 |        0 |        0 |        0 |     34.425 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50277753|4100|4161|TODODIA HID PES FOLHA LIMAO |A40004    |PC|           37 |            0 |        0 |        0 |        0 |     20.165 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50277772|4100|4161|TODODIA SPRAY PERFUMADO FLI |A90007    |PC|           99 |            0 |        0 |        0 |        0 |    130.086 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50277772|4100|4161|TODODIA SPRAY PERFUMADO FLI |A90008    |PC|           84 |            0 |        0 |        0 |        0 |    110.376 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50280675|4100|4161|EKOS MANT CRP UCUUBA 200G   |AA0014    |PC|           16 |            0 |        0 |        0 |        0 |     21.856 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50280703|4100|4161|EKOS RF DES HIDR CORP UCUUB |A40008    |PC|            8 |            0 |        0 |        0 |        0 |     12.912 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50280703|4100|4161|EKOS RF DES HIDR CORP UCUUB |AA0011    |PC|            5 |            0 |        0 |        0 |        0 |      8.070 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50281031|4100|4161|EKOS RF NECTAR CRP MARACUJA |A60015    |PC|            6 |            0 |        0 |        0 |        0 |      9.648 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50281031|4100|4161|EKOS RF NECTAR CRP MARACUJA |A70017    |PC|            5 |            0 |        0 |        0 |        0 |      8.040 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50284695|4100|4161|EKOS COL EDT PITANGA PRETA  |Y6L003    |PC|          280 |            0 |        0 |        0 |        0 |     56.280 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50286229|4100|4161|MMBB SHAMPOO 200ML V2 BTV   |A80042    |PC|            8 |            0 |        0 |        0 |        0 |      9.440 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50294001|4100|4161|EKOS DES HID CORP UCUUBA 40 |A40004    |PC|            1 |            0 |        0 |        0 |        0 |      1.831 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50294001|4100|4161|EKOS DES HID CORP UCUUBA 40 |A60009    |PC|           22 |            0 |        0 |        0 |        0 |     40.282 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50294004|4100|4161|EKOS NECTAR CRP MARACUJA 40 |A90017    |PC|           90 |            0 |        0 |        0 |        0 |    164.070 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50294005|4100|4161|EKOS POLPA CRP CASTANHA 400 |A90017    |PC|           33 |            0 |        0 |        0 |        0 |     66.924 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50294005|4100|4161|EKOS POLPA CRP CASTANHA 400 |AA0019    |PC|            2 |            0 |        0 |        0 |        0 |      4.056 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50294031|4100|4161|EKOS LEITE NUTRIT CASTANHA  |Y50001    |PC|            0 |            9 |        0 |        0 |        0 |          0 |     23.373 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50297739|4100|4161|ESSENCIAL FLORAL FEM EDP 10 |A2JV02    |PC|            1 |            0 |        0 |        0 |        0 |      5.602 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50297739|4100|4161|ESSENCIAL FLORAL FEM EDP 10 |A6JV02    |PC|            6 |            0 |        0 |        0 |        0 |     33.612 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50297739|4100|4161|ESSENCIAL FLORAL FEM EDP 10 |Z6JV04    |PC|            2 |            0 |        0 |        0 |        0 |     11.204 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
| 50301036|4100|4161|EKOS HID POLPA MAOS PITANGA |A60004    |PC|          139 |            0 |        0 |        0 |        0 |    121.764 |          0 |DOMINICOS       |   |CLP  |                0 |                0 |                0 |                0 |                0 |
